OTU	Size	Taxonomy
Otu0108	302	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleraceae(100);g__Genolevuria(100);s__Genolevuria_sp(100);Genolevuria(100);
Otu0109	299	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Xylariales(100);f__Xylariaceae(100);g__Hypoxylon(100);s__Hypoxylon_rubiginosum(100);Hypoxylon_rubiginosum(100);
Otu0110	292	k__Fungi(100);p__Ascomycota(100);c__Pezizomycotina_cls_Incertae_sedis(100);o__Pezizomycotina_ord_Incertae_sedis(100);f__Pezizomycotina_fam_Incertae_sedis(100);g__Amblyosporium(100);s__Amblyosporium_sp(100);Amblyosporium(100);
Otu0111	288	k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
Otu0112	283	k__Fungi(100);p__Basidiomycota(100);c__Microbotryomycetes(100);o__Leucosporidiales(98);o__Leucosporidiales_unclassified(96);o__Leucosporidiales_unclassified(96);o__Leucosporidiales_unclassified(96);o__Leucosporidiales_unclassified(96);
Otu0113	281	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Phaeomoniellales(100);f__unclassified_Phaeomoniellales(85);g__unclassified_Phaeomoniellales(85);s__Phaeomoniellales_sp(85);Phaeomoniellales(85);
Otu0114	280	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);f__unclassified_Chaetothyriales(96);g__unclassified_Chaetothyriales(96);s__Chaetothyriales_sp(96);Chaetothyriales(96);
Otu0115	276	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Tremellaceae(100);g__Tremella(100);s__Tremella_griseola(100);Tremella_griseola(100);
Otu0116	275	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(96);c__Dothideomycetes_unclassified(96);c__Dothideomycetes_unclassified(96);c__Dothideomycetes_unclassified(96);c__Dothideomycetes_unclassified(96);c__Dothideomycetes_unclassified(96);
Otu0117	269	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Xylariales(100);f__Apiosporaceae(100);g__Apiospora(99);s__Apiospora_montagnei(99);Apiospora_montagnei(99);
Otu0118	268	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Phacidiales(96);f__Phacidiaceae(96);f__Phacidiaceae_unclassified(91);f__Phacidiaceae_unclassified(91);f__Phacidiaceae_unclassified(91);
Otu0119	266	k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
Otu0120	261	k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Atheliales(100);f__Atheliaceae(100);g__Athelia(100);s__Athelia_acrospora(100);Athelia_acrospora(100);
Otu0121	257	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Dothideales(100);f__Dothideaceae(100);g__Rhizosphaera(100);s__Rhizosphaera_kalkhoffii(99);Rhizosphaera_kalkhoffii(99);
Otu0122	250	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Capnodiales_fam_Incertae_sedis(100);g__Microcyclospora(100);s__Microcyclospora_malicola(80);Microcyclospora_malicola(80);
Otu0123	242	k__Fungi(100);p__Ascomycota(98);p__Ascomycota_unclassified(98);p__Ascomycota_unclassified(98);p__Ascomycota_unclassified(98);p__Ascomycota_unclassified(98);p__Ascomycota_unclassified(98);p__Ascomycota_unclassified(98);
